,0
0,angry
1,fearful
2,fearful
3,angry
4,disgust
5,sad
6,sad
7,disgust
8,surprised
9,surprised
10,happy
11,happy
12,calm
13,neutral
14,calm
15,happy
16,happy
17,calm
18,calm
19,neutral
20,fearful
21,angry
22,angry
23,fearful
24,sad
25,disgust
26,disgust
27,sad
28,surprised
29,surprised
30,calm
31,neutral
32,calm
33,happy
34,happy
35,disgust
36,sad
37,sad
38,disgust
39,angry
40,fearful
41,fearful
42,angry
43,surprised
44,surprised
45,sad
46,disgust
47,disgust
48,sad
49,fearful
50,angry
51,angry
52,fearful
53,surprised
54,surprised
55,neutral
56,calm
57,calm
58,happy
59,happy
60,neutral
61,calm
62,calm
63,happy
64,happy
65,sad
66,disgust
67,disgust
68,sad
69,fearful
70,angry
71,angry
72,fearful
73,surprised
74,surprised
75,disgust
76,sad
77,sad
78,disgust
79,angry
80,fearful
81,fearful
82,angry
83,surprised
84,surprised
85,calm
86,neutral
87,calm
88,happy
89,happy
90,fearful
91,angry
92,angry
93,fearful
94,sad
95,disgust
96,disgust
97,sad
98,surprised
99,surprised
100,happy
101,happy
102,calm
103,calm
104,neutral
105,happy
106,happy
107,calm
108,neutral
109,calm
110,angry
111,fearful
112,fearful
113,angry
114,disgust
115,sad
116,sad
117,disgust
118,surprised
119,surprised
120,happy
121,happy
122,calm
123,calm
124,neutral
125,fearful
126,angry
127,angry
128,fearful
129,sad
130,disgust
131,disgust
132,sad
133,surprised
134,surprised
135,angry
136,fearful
137,fearful
138,angry
139,disgust
140,sad
141,sad
142,disgust
143,surprised
144,surprised
145,happy
146,happy
147,calm
148,neutral
149,calm
150,sad
151,disgust
152,disgust
153,sad
154,fearful
155,angry
156,angry
157,fearful
158,surprised
159,surprised
160,neutral
161,calm
162,calm
163,happy
164,happy
165,calm
166,neutral
167,calm
168,happy
169,happy
170,disgust
171,sad
172,sad
173,disgust
174,angry
175,fearful
176,fearful
177,angry
178,surprised
179,surprised
180,surprised
181,surprised
182,sad
183,disgust
184,disgust
185,sad
186,fearful
187,angry
188,angry
189,fearful
190,neutral
191,calm
192,calm
193,happy
194,happy
195,calm
196,neutral
197,calm
198,happy
199,happy
200,surprised
201,surprised
202,disgust
203,sad
204,sad
205,disgust
206,angry
207,fearful
208,fearful
209,angry
210,happy
211,happy
212,calm
213,calm
214,neutral
215,surprised
216,surprised
217,fearful
218,angry
219,angry
220,fearful
221,sad
222,disgust
223,disgust
224,sad
225,surprised
226,surprised
227,angry
228,fearful
229,fearful
230,angry
231,disgust
232,sad
233,sad
234,disgust
235,happy
236,happy
237,calm
238,neutral
239,calm
240,surprised
241,surprised
242,fearful
243,angry
244,angry
245,fearful
246,sad
247,disgust
248,disgust
249,sad
250,happy
251,happy
252,calm
253,calm
254,neutral
255,happy
256,happy
257,calm
258,neutral
259,calm
260,surprised
261,surprised
262,angry
263,fearful
264,fearful
265,angry
266,disgust
267,sad
268,sad
269,disgust
270,neutral
271,calm
272,calm
273,happy
274,happy
275,surprised
276,surprised
277,sad
278,disgust
279,disgust
280,sad
281,fearful
282,angry
283,angry
284,fearful
285,surprised
286,surprised
287,disgust
288,sad
289,sad
290,disgust
291,angry
292,fearful
293,fearful
294,angry
295,calm
296,neutral
297,calm
298,happy
299,happy
300,calm
301,surprised
302,disgust
303,angry
304,sad
305,fearful
306,neutral
307,happy
308,fearful
309,sad
310,happy
311,neutral
312,calm
313,surprised
314,angry
315,disgust
316,neutral
317,calm
318,calm
319,happy
320,happy
321,sad
322,disgust
323,disgust
324,sad
325,fearful
326,angry
327,angry
328,fearful
329,surprised
330,surprised
331,disgust
332,sad
333,sad
334,disgust
335,angry
336,fearful
337,fearful
338,angry
339,surprised
340,surprised
341,calm
342,neutral
343,calm
344,happy
345,happy
346,fearful
347,angry
348,angry
349,fearful
350,sad
351,disgust
352,disgust
353,sad
354,surprised
355,surprised
356,happy
357,happy
358,calm
359,calm
360,neutral
361,happy
362,happy
363,calm
364,neutral
365,calm
366,angry
367,fearful
368,fearful
369,angry
370,disgust
371,sad
372,sad
373,disgust
374,surprised
375,surprised
376,happy
377,happy
378,calm
379,calm
380,neutral
381,fearful
382,angry
383,angry
384,fearful
385,sad
386,disgust
387,disgust
388,sad
389,surprised
390,surprised
391,angry
392,fearful
393,fearful
394,angry
395,disgust
396,sad
397,sad
398,disgust
399,surprised
400,surprised
401,happy
402,happy
403,calm
404,neutral
405,calm
406,sad
407,disgust
408,disgust
409,sad
410,fearful
411,angry
412,angry
413,fearful
414,surprised
415,surprised
416,neutral
417,calm
418,calm
419,happy
420,happy
421,calm
422,neutral
423,calm
424,happy
425,happy
426,disgust
427,sad
428,sad
429,disgust
430,angry
431,fearful
432,fearful
433,angry
434,surprised
435,surprised
436,disgust
437,sad
438,sad
439,disgust
440,angry
441,fearful
442,fearful
443,angry
444,surprised
445,surprised
446,calm
447,neutral
448,calm
449,happy
450,happy
451,neutral
452,calm
453,calm
454,happy
455,happy
456,sad
457,disgust
458,disgust
459,sad
460,fearful
461,angry
462,angry
463,fearful
464,surprised
465,surprised
466,happy
467,happy
468,calm
469,neutral
470,calm
471,angry
472,fearful
473,fearful
474,angry
475,disgust
476,sad
477,sad
478,disgust
479,surprised
480,surprised
481,fearful
482,angry
483,angry
484,fearful
485,sad
486,disgust
487,disgust
488,sad
489,surprised
490,surprised
491,happy
492,happy
493,calm
494,calm
495,neutral
496,happy
497,happy
498,calm
499,neutral
500,calm
501,angry
502,fearful
503,fearful
504,angry
505,disgust
506,sad
507,sad
508,disgust
509,surprised
510,surprised
511,fearful
512,angry
513,angry
514,fearful
515,sad
516,disgust
517,disgust
518,sad
519,surprised
520,surprised
521,happy
522,happy
523,calm
524,calm
525,neutral
526,disgust
527,sad
528,sad
529,disgust
530,angry
531,fearful
532,fearful
533,angry
534,surprised
535,surprised
536,calm
537,neutral
538,calm
539,happy
540,happy
541,neutral
542,calm
543,calm
544,happy
545,happy
546,sad
547,disgust
548,disgust
549,sad
550,fearful
551,angry
552,angry
553,fearful
554,surprised
555,surprised
556,sad
557,disgust
558,disgust
559,sad
560,fearful
561,angry
562,angry
563,fearful
564,surprised
565,surprised
566,neutral
567,calm
568,calm
569,happy
570,happy
571,calm
572,neutral
573,calm
574,happy
575,happy
576,disgust
577,sad
578,sad
579,disgust
580,angry
581,fearful
582,fearful
583,angry
584,surprised
585,surprised
586,happy
587,happy
588,calm
589,calm
590,neutral
591,fearful
592,angry
593,angry
594,fearful
595,sad
596,disgust
597,disgust
598,sad
599,surprised
600,surprised
601,angry
602,fearful
603,fearful
604,angry
605,disgust
606,sad
607,sad
608,disgust
609,surprised
610,surprised
611,happy
612,happy
613,calm
614,neutral
615,calm
616,fearful
617,angry
618,angry
619,fearful
620,sad
621,disgust
622,disgust
623,sad
624,surprised
625,surprised
626,happy
627,happy
628,calm
629,calm
630,neutral
631,happy
632,happy
633,calm
634,neutral
635,calm
636,angry
637,fearful
638,fearful
639,angry
640,disgust
641,sad
642,sad
643,disgust
644,surprised
645,surprised
646,neutral
647,calm
648,calm
649,happy
650,happy
651,sad
652,disgust
653,disgust
654,sad
655,fearful
656,angry
657,angry
658,fearful
659,surprised
660,surprised
661,disgust
662,sad
663,sad
664,disgust
665,angry
666,fearful
667,fearful
668,angry
669,surprised
670,surprised
671,calm
672,neutral
673,calm
674,happy
675,happy
676,calm
677,neutral
678,calm
679,happy
680,happy
681,disgust
682,sad
683,sad
684,disgust
685,angry
686,fearful
687,fearful
